family,dv,outcome_label,n_complete,estimand,f_condition,df_num,df_den,p_condition,partial_eta2,sse_reduced,sse_full,rank_reduced,rank_full,q_condition_bh
PLV,PLV,PLV,39,partial F for condition adjusted for numeric block position with participant blocking,6.609854192141301,2,75,0.0022703180790008275,0.14984983090964119,0.6720130839307181,0.5713120369346335,40,42,0.0022703180790008275
ASC,asc_avg_EU,Experience of Unity,39,partial F for condition adjusted for numeric block position with participant blocking,8.577714488187212,2,75,0.0004418376162136544,0.186157551073551,23901.24512820513,19451.84786752982,40,42,0.0016200712594500663
ASC,asc_avg_SE,Spiritual Experience,39,partial F for condition adjusted for numeric block position with participant blocking,5.338289129985896,2,75,0.006799361403856304,0.12461490032404694,9400.985794706557,8229.482886951419,40,42,0.014958595088483868
ASC,asc_avg_BS,Blissful State,39,partial F for condition adjusted for numeric block position with participant blocking,0.5971200190930314,2,75,0.552989724313648,0.015673626216201494,19599.82747942451,19292.627109609977,40,42,0.6082886967450128
ASC,asc_avg_IS,Insightfulness,39,partial F for condition adjusted for numeric block position with participant blocking,1.6372763104075825,2,75,0.20138406323397648,0.041834191460385035,11117.390314250719,10652.303279304524,40,42,0.24613607728597126
ASC,asc_avg_DIS,Disembodiment,39,partial F for condition adjusted for numeric block position with participant blocking,5.1063793950192595,2,75,0.008334391628654608,0.11985011323483172,15876.74491543875,13973.915239522878,40,42,0.01527971798586678
ASC,asc_avg_ICC,Impaired Control and Cognition,39,partial F for condition adjusted for numeric block position with participant blocking,3.2337476061970656,2,75,0.04496594615822101,0.07938743170552509,9635.986433156468,8871.010218278892,40,42,0.0706607725343473
ASC,asc_avg_ANX,Anxiety,39,partial F for condition adjusted for numeric block position with participant blocking,2.661115233934537,2,75,0.07646388874423525,0.06626098947785197,7173.5314395840505,6698.206148346731,40,42,0.10513784702332347
ASC,asc_avg_CI,Complex Imagery,39,partial F for condition adjusted for numeric block position with participant blocking,0.3578803831865237,2,75,0.7003441237150029,0.009453259917463997,16907.70374362963,16747.87082553362,40,42,0.7003441237150029
ASC,asc_avg_EI,Elementary Imagery,39,partial F for condition adjusted for numeric block position with participant blocking,15.170427615560708,2,75,2.9337012054583837e-06,0.2880255259419771,35236.87617219659,25087.756380147348,40,42,1.613535663002111e-05
ASC,asc_avg_AVS,Audio-Visual Synesthesia,39,partial F for condition adjusted for numeric block position with participant blocking,21.770779339547875,2,75,3.5046820562260614e-08,0.3673104956968488,45769.281950000004,28957.74430925667,40,42,3.855150261848668e-07
ASC,asc_avg_CMP,Changed Meaning of Percepts,39,partial F for condition adjusted for numeric block position with participant blocking,6.229469896601936,2,75,0.003141518076900642,0.14245473158790808,15975.109686313393,13699.379723862228,40,42,0.008639174711476766
ASC3,asc3_avg_POSE,Positive Effects,39,partial F for condition adjusted for numeric block position with participant blocking,7.558112473828936,2,75,0.0010225516078242907,0.16774143564533264,7969.169413423305,6632.409495114806,40,42,0.001533827411736436
ASC3,asc3_avg_DISE,Distressing Effects,39,partial F for condition adjusted for numeric block position with participant blocking,4.644594029130127,2,75,0.0125415795710965,0.11020616371152628,5222.931025610039,4647.331833947649,40,42,0.0125415795710965
ASC3,asc3_avg_PERE,Perceptual Effects,39,partial F for condition adjusted for numeric block position with participant blocking,19.626636600615747,2,75,1.3954779213251477e-07,0.34356366431704466,16716.11900485122,10973.067906384746,40,42,4.1864337639754434e-07
self,self_perceived_body_boundaries_scale,Perceived body boundaries,39,partial F for condition adjusted for numeric block position with participant blocking,0.2960675811910171,2,75,0.7446023587290963,0.007833290607680926,118.15384615384616,117.22831274050786,40,42,0.7446023587290963
self,self_spatial_frame_of_reference_continuum,Spatial frame of reference,39,partial F for condition adjusted for numeric block position with participant blocking,10.98811034498856,2,75,6.529054815981343e-05,0.22661453017676167,132.96153846153842,102.83052189149747,40,42,0.0001958716444794403
self,self_small_self_scale,Small Self,39,partial F for condition adjusted for numeric block position with participant blocking,1.3226239971566869,2,75,0.2725770735520649,0.034068382324016884,77.9871794871795,75.33028244003854,40,42,0.4088656103280973
tracer_peak,tracer_peak_EU,Experience of Unity,39,partial F for condition adjusted for numeric block position with participant blocking,6.357578042400318,2,75,0.0028151293698063418,0.14495962445199287,2.0017536774439875,1.7115802161163114,40,42,0.010322141022623252
tracer_peak,tracer_peak_SE,Spiritual Experience,39,partial F for condition adjusted for numeric block position with participant blocking,0.5050947389179481,2,75,0.6054862837583013,0.013290184970930262,0.7155633440994871,0.7060533748979875,40,42,0.740038791260146
tracer_peak,tracer_peak_BS,Blissful State,39,partial F for condition adjusted for numeric block position with participant blocking,0.30149568612731376,2,75,0.7406033048692124,0.007975760764354068,2.871131576435128,2.848232117858499,40,42,0.8146636353561337
tracer_peak,tracer_peak_IS,Insightfulness,39,partial F for condition adjusted for numeric block position with participant blocking,2.7782153484596814,2,75,0.06855502712464774,0.06897563172609449,1.9877147888233206,1.8506109055729316,40,42,0.15082105967422504
tracer_peak,tracer_peak_DIS,Disembodiment,39,partial F for condition adjusted for numeric block position with participant blocking,3.455307765970937,2,75,0.036689371301769885,0.08436776463054424,2.851095742964961,2.6105551683833466,40,42,0.10089577107986719
