family,dv,outcome_label,n_complete,f_condition,df_num,df_den,p_condition,q_condition_bh,partial_eta2,chi2_condition_mixed,p_condition_mixed,q_condition_mixed,f_condition_rm_anova,p_condition_rm_anova,candidate_nominal_significant,current_mixed_nominal_significant,nominal_decision_unchanged,candidate_fdr_significant,current_mixed_fdr_significant,fdr_decision_unchanged,interpretation_unchanged_at_both_thresholds
PLV,PLV,PLV,39,6.609854192141301,2,75,0.0022703180790008275,0.0022703180790008275,0.14984983090964119,12.6627,0.0018,0.0018,,,True,True,True,True,True,True,True
ASC,asc_avg_EU,Experience of Unity,39,8.577714488187212,2,75,0.0004418376162136544,0.0016200712594500663,0.186157551073551,16.067101710401857,0.0003243942842917,0.0011894457090696,8.769080128627571,0.000374404622923,True,True,True,True,True,True,True
ASC,asc_avg_SE,Spiritual Experience,39,5.338289129985896,2,75,0.006799361403856304,0.014958595088483868,0.12461490032404694,10.381127226352646,0.0055688672432956,0.0122515079352503,5.26832287479767,0.0071996987046428,True,True,True,True,True,True,True
ASC,asc_avg_BS,Blissful State,39,0.5971200190930314,2,75,0.552989724313648,0.6082886967450128,0.015673626216201494,1.2322249847879905,0.5400397708605889,0.5940437479466477,0.6195105693594242,0.5409032346649357,False,False,True,False,False,True,True
ASC,asc_avg_IS,Insightfulness,39,1.6372763104075825,2,75,0.20138406323397648,0.24613607728597126,0.041834191460385035,3.333286178038861,0.188880056132396,0.2308534019395951,1.659125575730369,0.1971231193615967,False,False,True,False,False,True,True
ASC,asc_avg_DIS,Disembodiment,39,5.1063793950192595,2,75,0.008334391628654608,0.01527971798586678,0.11985011323483172,9.957718683087135,0.0068819079887105,0.012616831312636,5.063723524176057,0.0086205839491464,True,True,True,True,True,True,True
ASC,asc_avg_ICC,Impaired Control and Cognition,39,3.2337476061970656,2,75,0.04496594615822101,0.0706607725343473,0.07938743170552509,6.451847626622339,0.0397190716151913,0.0624156839667293,3.363686698515248,0.0398332325710023,True,True,True,False,False,True,True
ASC,asc_avg_ANX,Anxiety,39,2.661115233934537,2,75,0.07646388874423525,0.10513784702332347,0.06626098947785197,5.347548319773296,0.0689913489427477,0.0948631047962781,2.683928462615402,0.0747665180835397,False,False,True,False,False,True,True
ASC,asc_avg_CI,Complex Imagery,39,0.3578803831865237,2,75,0.7003441237150029,0.7003441237150029,0.009453259917463997,0.7408615957974689,0.6904368278255264,0.6904368278255264,0.3659398395151537,0.6947598234477675,False,False,True,False,False,True,True
ASC,asc_avg_EI,Elementary Imagery,39,15.170427615560708,2,75,2.9337012054583837e-06,1.613535663002111e-05,0.2880255259419771,26.49763112093433,1.7624325711997098e-06,9.693379141598403e-06,15.368791430749267,2.48231382250644e-06,True,True,True,True,True,True,True
