family,scale,target,n,rho,ci95_low,ci95_high,permutation_p,q_bh_family
3D-ASCr composites,Boundary dissolution,Positive Effects,39,0.25171687977555135,-0.09357952299658549,0.5178680727846456,0.12248775122487751,0.27559744025597444
3D-ASCr composites,Boundary dissolution,Distressing Effects,39,-0.040242181829276684,-0.367918446136272,0.2905770813337755,0.8071192880711929,0.8851114888511149
3D-ASCr composites,Boundary dissolution,Perceptual Effects,39,0.19897523237809028,-0.12193141542246254,0.4910728016952412,0.2226777322267773,0.334016598340166
3D-ASCr composites,Spatial frame of reference,Positive Effects,39,0.6956995948126931,0.44893303792166367,0.8398067941674312,9.999000099990002e-05,0.0008999100089991002
3D-ASCr composites,Spatial frame of reference,Distressing Effects,39,0.07244305515306214,-0.26075545981385995,0.4120529287345391,0.6547345265473453,0.8418015341323011
3D-ASCr composites,Spatial frame of reference,Perceptual Effects,39,0.20829943620498037,-0.11206354215303553,0.5071226223219184,0.20227977202279773,0.334016598340166
3D-ASCr composites,Small self,Positive Effects,39,0.4620423036145311,0.1355176528059491,0.7067562480261765,0.0032996700329967,0.014848515148485151
3D-ASCr composites,Small self,Distressing Effects,39,0.02347983425350026,-0.3332807374957779,0.40335562651978235,0.8851114888511149,0.8851114888511149
3D-ASCr composites,Small self,Perceptual Effects,39,0.28186009727788786,-0.03327045640020169,0.5529971260937941,0.07789221077892211,0.23367663233676633
11D-ASC subscales,Boundary dissolution,Experience of Unity,39,0.1414573664301847,-0.23539696087732312,0.4661956968428327,0.38736126387361264,0.49165083491650835
11D-ASC subscales,Boundary dissolution,Spiritual Experience,39,0.1852578431703513,-0.14911443522002257,0.49036365635683377,0.25937406259374063,0.35663933606639336
11D-ASC subscales,Boundary dissolution,Blissful State,39,0.23699373135245744,-0.1115792126604619,0.5384217262251089,0.14628537146285372,0.2768056527680566
11D-ASC subscales,Boundary dissolution,Insightfulness,39,0.2857523552757903,-0.030969439777638944,0.5445274264720814,0.07389261073892611,0.17417543959889725
11D-ASC subscales,Boundary dissolution,Disembodiment,39,0.1139236590249163,-0.2250613112321755,0.44640456935396444,0.5016498350164984,0.591230162698016
11D-ASC subscales,Boundary dissolution,Impaired Control and Cognition,39,0.1871871185089082,-0.1539444882450122,0.4833112547902233,0.25607439256074394,0.35663933606639336
11D-ASC subscales,Boundary dissolution,Anxiety,39,-0.24930319405860255,-0.5481267418086722,0.07368714002344529,0.1254874512548745,0.25881786821317865
11D-ASC subscales,Boundary dissolution,Complex Imagery,39,0.20630812058042125,-0.12963743557159518,0.49167605396024266,0.21207879212078792,0.3314668533146686
11D-ASC subscales,Boundary dissolution,Elementary Imagery,39,-0.08699255318940975,-0.41771659447874226,0.23467545695995856,0.6001399860013998,0.6601539846015398
11D-ASC subscales,Boundary dissolution,Audio-Visual Synesthesia,39,0.23471900802215348,-0.08866675938045998,0.5212999745155591,0.15098490150984903,0.2768056527680566
11D-ASC subscales,Boundary dissolution,Changed Meaning of Percepts,39,0.1272303324501374,-0.22449531250828864,0.42632065591148727,0.44055594440555945,0.5384572653845726
11D-ASC subscales,Spatial frame of reference,Experience of Unity,39,0.679384515819298,0.4581784146362516,0.8259936131559993,9.999000099990002e-05,0.0016498350164983503
11D-ASC subscales,Spatial frame of reference,Spiritual Experience,39,0.40784755230678865,0.09709389604403293,0.6631282214574411,0.0103989601039896,0.049023669061665255
11D-ASC subscales,Spatial frame of reference,Blissful State,39,0.6468897065539583,0.39785817864307904,0.8084771919709777,9.999000099990002e-05,0.0016498350164983503
11D-ASC subscales,Spatial frame of reference,Insightfulness,39,0.5122346813624904,0.23568113379933117,0.7432842021298168,0.0013998600139986002,0.01154884511548845
11D-ASC subscales,Spatial frame of reference,Disembodiment,39,0.3622849157659819,0.04355437138508372,0.6398383054462708,0.021897810218978103,0.08129187081291872
11D-ASC subscales,Spatial frame of reference,Impaired Control and Cognition,39,0.2780746168056634,-0.06422292797891539,0.5539674580269055,0.08539146085391461,0.18786121387861215
11D-ASC subscales,Spatial frame of reference,Anxiety,39,-0.3232559829495392,-0.583550340885426,-0.007222463221353549,0.0446955304469553,0.11447316806780862
11D-ASC subscales,Spatial frame of reference,Complex Imagery,39,0.03831447925989686,-0.28165727791368517,0.36995417580692547,0.8149185081491851,0.8674938957717131
11D-ASC subscales,Spatial frame of reference,Elementary Imagery,39,0.21975163492787145,-0.08226983197462048,0.48156820698334507,0.17898210178982102,0.29532046795320466
11D-ASC subscales,Spatial frame of reference,Audio-Visual Synesthesia,39,0.33054207018427484,0.02717485757281222,0.5861324547950549,0.04509549045095491,0.11447316806780862
11D-ASC subscales,Spatial frame of reference,Changed Meaning of Percepts,39,0.35831607449644903,0.014030122157392024,0.6270324548939556,0.025397460253974602,0.08129187081291872
11D-ASC subscales,Small self,Experience of Unity,39,0.35628096323789515,0.04501334999857374,0.6651635265691642,0.027097290270972903,0.08129187081291872
11D-ASC subscales,Small self,Spiritual Experience,39,0.4596440074418851,0.14116086241269396,0.7042865598210006,0.0035996400359964,0.02144785521447855
