family,scale,target,n_participants,interaction_joint_chi2,interaction_joint_df,interaction_joint_p,interaction_pooled_vr_minus_control_est,interaction_pooled_vr_minus_control_se,interaction_pooled_vr_minus_control_z,interaction_pooled_vr_minus_control_p,interaction_symmetric_minus_asymmetric_est,interaction_symmetric_minus_asymmetric_se,interaction_symmetric_minus_asymmetric_z,interaction_symmetric_minus_asymmetric_p,interaction_joint_q_bh,interaction_pooled_vr_minus_control_q_bh,interaction_symmetric_minus_asymmetric_q_bh
3D-ASCr composites,Boundary dissolution,Positive Effects,39,0.341115532715926,2,0.8431943799533519,1.14060845616022,3.017567521155786,0.377989373282804,0.7054384882677212,1.4789139183216122,3.39801867328411,0.435228308175327,0.6633967168461403,0.9588662512768522,0.9573856775619247,0.9586840979528102
3D-ASCr composites,Boundary dissolution,Distressing Effects,39,0.08400736137940523,2,0.9588662512768522,-0.7141000638910597,2.4845798264497874,-0.2874128077065796,0.7737962555892146,0.14333183739408906,2.766758600847957,0.05180496677598135,0.9586840979528102,0.9588662512768522,0.9573856775619247,0.9586840979528102
3D-ASCr composites,Boundary dissolution,Perceptual Effects,39,1.6783151200184483,2,0.43207436687507117,-3.088546379449153,3.057657849406704,-1.010102023039773,0.31244641309851506,-2.73929199859588,4.814043656448992,-0.5690210131198682,0.5693418797902285,0.9306171975186356,0.5624035435773271,0.9586840979528102
3D-ASCr composites,Spatial frame of reference,Positive Effects,39,10.938648304135858,2,0.004214079272542352,-7.628547091218321,3.049396658239099,-2.50165785110537,0.012361332327207456,0.3072868114902745,3.7745225325004346,0.08141077681862775,0.9351152788988681,0.03792671345288117,0.11125199094486711,0.9586840979528102
3D-ASCr composites,Spatial frame of reference,Distressing Effects,39,0.5558872248448773,2,0.7573395248515532,0.537785337714748,2.9009047664120247,0.18538538180965733,0.852926773319255,-2.1636784763599275,2.9471217939308065,-0.7341666302409784,0.46284718854717566,0.9588662512768522,0.9573856775619247,0.9586840979528102
3D-ASCr composites,Spatial frame of reference,Perceptual Effects,39,2.9592771288855775,2,0.22771997960914758,-3.633354449731175,3.4503315652990567,-1.0530450134916975,0.29232036215342505,-6.79875681014211,4.307052525872775,-1.5785172735418218,0.11444682299880135,0.6929022759084511,0.5624035435773271,0.9586840979528102
3D-ASCr composites,Small self,Positive Effects,39,1.319387849223083,2,0.5170095541770198,-4.804643575077291,4.209156985205706,-1.141474074729119,0.25367269456003083,-2.775055390719414,5.132907166831768,-0.5406400896263018,0.5887556798909634,0.9306171975186356,0.5624035435773271,0.9586840979528102
3D-ASCr composites,Small self,Distressing Effects,39,0.163855957783023,2,0.921338312113428,-0.1662906259627191,3.1120431592686093,-0.05343455005354123,0.9573856775619247,-1.539160256252003,3.802375694325611,-0.4047891055449713,0.6856325375339483,0.9588662512768522,0.9573856775619247,0.9586840979528102
3D-ASCr composites,Small self,Perceptual Effects,39,2.9309571888183124,2,0.23096742530281703,-7.519066948326417,4.442356613339116,-1.692585175568487,0.09053445479084292,-1.3273653155930942,5.489874420906473,-0.24178427661992374,0.808947322936037,0.6929022759084511,0.40740504655879317,0.9586840979528102
11D-ASC subscales,Boundary dissolution,Experience of Unity,39,2.118967685771821,2,0.34663468212027926,4.301017127231008,6.875536636141613,0.625553662913014,0.5316077398652171,6.334123324627678,4.867361693829036,1.3013463397754557,0.1931399321878592,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Spiritual Experience,39,1.9334627596021086,2,0.3803241438254524,4.049023974016668,2.937518714583203,1.378382358524369,0.1680852672218186,-1.3913164143578687,4.077181830987427,-0.3412446322073682,0.7329194259051732,0.984851129960038,0.6933517272900017,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Blissful State,39,1.448714049047901,2,0.48463607791122665,0.3153444557521492,4.856645722794494,0.06493050425154366,0.948229332952309,6.322080251907183,5.689330518159793,1.1112169053507637,0.26647499623554793,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Insightfulness,39,0.22875816498322915,2,0.8919197806155406,-1.199558201646369,3.0518283710685954,-0.39306214367040065,0.6942735834155102,-1.2136976332988152,5.501892649974918,-0.22059638573725138,0.8254067155045091,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Disembodiment,39,1.9077401052181862,2,0.3852472077846972,5.09188330381252,4.8258375425330104,1.0551294482946614,0.29136612546469376,2.7423126597016303,5.16354749525957,0.5310908173536177,0.5953558471865468,0.984851129960038,0.8740983763940813,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Impaired Control and Cognition,39,0.0744242685745785,2,0.963471728280544,-0.2606230192764678,4.217470624783638,-0.06179604850000304,0.9507252503155291,-0.6846221159470538,3.378824205089733,-0.20262140744575138,0.8394309563474543,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Anxiety,39,0.3015656301734249,2,0.8600344648877487,-1.1675767956123395,2.3242152659888022,-0.502353122233543,0.6154191478267133,0.9712855902255937,3.613077432802896,0.2688250136593683,0.7880643435434784,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Complex Imagery,39,1.1333866704162638,2,0.5673985369038232,-4.378652394430846,5.172216445803667,-0.8465717628625815,0.39723385846168835,-2.2155910919028816,4.469417933487563,-0.4957225135072607,0.6200902007599028,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Elementary Imagery,39,0.5908699102118893,2,0.7442078200676499,-3.4314548914009375,4.905797628935966,-0.6994693118120318,0.48425878494441976,-2.308974081493742,7.720313223931088,-0.29907777243240413,0.7648807055575828,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Audio-Visual Synesthesia,39,0.4349254347841098,2,0.8045576003662538,-1.4555317481990513,5.664213665989651,-0.25696978151419025,0.7972021007812052,-3.6933106939768123,7.201940678642989,-0.5128215933420763,0.6080761235614088,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Boundary dissolution,Changed Meaning of Percepts,39,1.6083861185061736,2,0.44744884562531595,-5.7140600324034425,5.294470557155663,-1.0792505068671483,0.28047606979860173,-3.9200186006144033,5.002532409563788,-0.7836068374330077,0.43327084255243886,0.984851129960038,0.8740983763940813,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Experience of Unity,39,5.413354382252925,2,0.06675826353236547,-11.034830533161546,6.601139142069743,-1.671655496978609,0.094592274476303,2.254538393275345,5.81439327957792,0.38775127255220804,0.6982001084774352,0.5507556741420151,0.5202575096196664,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Spiritual Experience,39,0.4044816418209672,2,0.8168981780894282,-1.6209325575286064,2.8833047022533074,-0.5621787236922428,0.5739942560021325,-1.6911855724626492,3.507083770593867,-0.4822198963831065,0.6296497442616393,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Blissful State,39,6.825292745594813,2,0.03295387663856283,-15.827899847213384,6.103864255523339,-2.5930949943539194,0.009511649438914943,-1.863810792447687,5.20072552791964,-0.358375150244323,0.7200625855930314,0.3624926430241911,0.1184018160251565,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Insightfulness,39,4.864695664564374,2,0.08783037931846935,-6.345539961014209,3.677014437693922,-1.7257315870083667,0.08439571262086523,4.94867555380302,6.298588745982658,0.7856800552281438,0.4320549507512489,0.5796805035018977,0.5202575096196664,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Disembodiment,39,0.06245028224375851,2,0.9692573288266685,-1.1917447950051723,5.152436872637769,-0.23129731124586558,0.8170838353745988,-0.3672176619908474,5.111890685281073,-0.0718359770579985,0.9427324412166159,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Impaired Control and Cognition,39,0.26947631638494607,2,0.8739447169957063,0.00521475530468507,3.5161017747968444,0.0014831070425958793,0.9988166522225114,-2.6925381960843726,5.198662819467747,-0.5179289924327198,0.6045078128514554,0.984851129960038,0.9988166522225114,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Anxiety,39,0.4898044386114912,2,0.7827810753768796,1.0703562876424997,3.5592336059453342,0.30072661874583884,0.7636229690031195,-1.6348187253380817,2.615584607727898,-0.6250299533450052,0.5319513992440031,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Complex Imagery,39,0.4554266446120422,2,0.7963525236198884,-0.7459651601537526,5.772769135436558,-0.129221374119154,0.8971824839006799,-3.883427619629037,6.483714772550985,-0.5989510266660176,0.5492055428605891,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Elementary Imagery,39,2.1837369694086943,2,0.3355888648709328,-7.029258153643277,4.921589937080464,-1.42824945668129,0.15322007005628968,-4.269496700277157,6.788290164016666,-0.6289502359384818,0.5293816361567258,0.984851129960038,0.6933517272900017,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Audio-Visual Synesthesia,39,2.907656683717001,2,0.23367398960433408,-3.1248401386561397,5.2900750318801295,-0.5906986422356187,0.5547223578681164,-12.243346226737863,9.090624510522625,-1.3468102452769757,0.17804135421627998,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Spatial frame of reference,Changed Meaning of Percepts,39,11.637380788691196,2,0.002971494083190632,-9.750335053251709,2.98542242999116,-3.2659817100927255,0.0010908529485935158,-1.4372786182242763,6.861177721011618,-0.20947987017196265,0.8340736480695252,0.09805930474529086,0.03599814730358602,0.9998958049397342
11D-ASC subscales,Small self,Experience of Unity,39,0.30736459687559625,2,0.857544420940415,-4.628890034780111,8.355394457474764,-0.5540001801637373,0.5795787224350637,-1.8112207086385261,9.010350134250535,-0.20101557449511703,0.8406863959434651,0.984851129960038,0.9804354143878894,0.9998958049397342
