family,scale,target,n,rho_sym_minus_asym_changes,permutation_p,q_bh_family
3D-ASCr composites,Boundary dissolution,Positive Effects,39,0.3815183662144263,0.016698330166983303,0.14218578142185784
3D-ASCr composites,Boundary dissolution,Distressing Effects,39,0.009656035678604463,0.9565043495650435,0.9565043495650435
3D-ASCr composites,Boundary dissolution,Perceptual Effects,39,-0.01270042880607153,0.9394060593940606,0.9565043495650435
3D-ASCr composites,Spatial frame of reference,Positive Effects,39,0.3407096200055677,0.031596840315968405,0.14218578142185784
3D-ASCr composites,Spatial frame of reference,Distressing Effects,39,0.03858865861941513,0.8256174382561744,0.9565043495650435
3D-ASCr composites,Spatial frame of reference,Perceptual Effects,39,0.06646160892696279,0.686931306869313,0.9565043495650435
3D-ASCr composites,Small self,Positive Effects,39,0.25797000792084546,0.11188881111888811,0.25174982501749826
3D-ASCr composites,Small self,Distressing Effects,39,0.28812934078841823,0.07929207079292071,0.23787621237876214
3D-ASCr composites,Small self,Perceptual Effects,39,-0.06721562922019411,0.684931506849315,0.9565043495650435
11D-ASC subscales,Boundary dissolution,Experience of Unity,39,0.3251729623240463,0.041695830416958304,0.15288471152884714
11D-ASC subscales,Boundary dissolution,Spiritual Experience,39,0.4392936249510355,0.0057994200579942,0.0824917508249175
11D-ASC subscales,Boundary dissolution,Blissful State,39,0.31367959906565923,0.0552944705529447,0.1824717528247175
11D-ASC subscales,Boundary dissolution,Insightfulness,39,0.2157387254685073,0.18948105189481051,0.39080466953304666
11D-ASC subscales,Boundary dissolution,Disembodiment,39,0.35332072056195873,0.029097090290970903,0.12002549745025497
11D-ASC subscales,Boundary dissolution,Impaired Control and Cognition,39,0.26104104496446195,0.103989601039896,0.27742610354349184
11D-ASC subscales,Boundary dissolution,Anxiety,39,-0.24339148360572796,0.1382861713828617,0.30422957704229575
11D-ASC subscales,Boundary dissolution,Complex Imagery,39,0.06435097425301334,0.7017298270172982,0.8417693944891226
11D-ASC subscales,Boundary dissolution,Elementary Imagery,39,-0.24638374701552074,0.12458754124587541,0.2936706329367063
11D-ASC subscales,Boundary dissolution,Audio-Visual Synesthesia,39,0.1081211047618333,0.5205479452054794,0.7176782321767823
11D-ASC subscales,Boundary dissolution,Changed Meaning of Percepts,39,-0.0955494795242927,0.5576442355764424,0.7360903909609039
11D-ASC subscales,Spatial frame of reference,Experience of Unity,39,0.38198430622459734,0.0163983601639836,0.0901909809019098
11D-ASC subscales,Spatial frame of reference,Spiritual Experience,39,0.41703217070881216,0.0096990300969903,0.0824917508249175
11D-ASC subscales,Spatial frame of reference,Blissful State,39,0.1660755861148968,0.30726927307269275,0.5336782111262558
11D-ASC subscales,Spatial frame of reference,Insightfulness,39,0.17464553517480044,0.29127087291270876,0.5336782111262558
11D-ASC subscales,Spatial frame of reference,Disembodiment,39,0.401247629863996,0.0124987501249875,0.0824917508249175
11D-ASC subscales,Spatial frame of reference,Impaired Control and Cognition,39,0.4324449298394825,0.0059994000599940004,0.0824917508249175
11D-ASC subscales,Spatial frame of reference,Anxiety,39,-0.3926832884921611,0.011998800119988001,0.0824917508249175
11D-ASC subscales,Spatial frame of reference,Complex Imagery,39,0.10450543812106435,0.521947805219478,0.7176782321767823
11D-ASC subscales,Spatial frame of reference,Elementary Imagery,39,-0.15877898427241122,0.33806619338066196,0.5480594797663091
11D-ASC subscales,Spatial frame of reference,Audio-Visual Synesthesia,39,0.20409887979053543,0.20977902209779023,0.4072181017192399
11D-ASC subscales,Spatial frame of reference,Changed Meaning of Percepts,39,-0.06193425556333848,0.7064293570642936,0.8417693944891226
11D-ASC subscales,Small self,Experience of Unity,39,0.15382038225390576,0.3487651234876512,0.5480594797663091
11D-ASC subscales,Small self,Spiritual Experience,39,0.36022849324875944,0.026297370262973702,0.12002549745025497
11D-ASC subscales,Small self,Blissful State,39,0.03032243529725103,0.8498150184981502,0.8763717378262174
11D-ASC subscales,Small self,Insightfulness,39,0.2631368372825827,0.10928907109289071,0.27742610354349184
11D-ASC subscales,Small self,Disembodiment,39,0.14192479791736853,0.39286071392860716,0.5892910708929108
11D-ASC subscales,Small self,Impaired Control and Cognition,39,0.2622917582550845,0.10178982101789821,0.27742610354349184
11D-ASC subscales,Small self,Anxiety,39,0.038386254312015505,0.8194180581941806,0.8722837393679986
11D-ASC subscales,Small self,Complex Imagery,39,0.04467419238809523,0.7882211778822118,0.8722837393679986
11D-ASC subscales,Small self,Elementary Imagery,39,-0.06000767855893517,0.7142285771422858,0.8417693944891226
11D-ASC subscales,Small self,Audio-Visual Synesthesia,39,-0.041191833895714264,0.8015198480151985,0.8722837393679986
11D-ASC subscales,Small self,Changed Meaning of Percepts,39,0.007758398711298036,0.9626037396260374,0.9626037396260374
