family,scale,target,participants,observations,within_rank_r,cluster_permutation_p,q_bh_family
3D-ASCr composites,Boundary dissolution,Positive Effects,39,117,0.16019028219534087,0.16818318168183183,0.2506892167926064
3D-ASCr composites,Boundary dissolution,Distressing Effects,39,117,0.06987371257778836,0.5534446555344466,0.6226252374762524
3D-ASCr composites,Boundary dissolution,Perceptual Effects,39,117,0.01752542153614734,0.8922107789221078,0.8922107789221078
3D-ASCr composites,Spatial frame of reference,Positive Effects,39,117,0.6028605644882188,9.999000099990002e-05,0.0008999100089991002
3D-ASCr composites,Spatial frame of reference,Distressing Effects,39,117,0.2791452631195413,0.011498850114988501,0.02587241275872413
3D-ASCr composites,Spatial frame of reference,Perceptual Effects,39,117,0.2256006802045127,0.047595240475952406,0.08567143285671433
3D-ASCr composites,Small self,Positive Effects,39,117,0.3822762334821924,0.000999900009999,0.004499550044995501
3D-ASCr composites,Small self,Distressing Effects,39,117,0.34438115910909844,0.0023997600239976003,0.007199280071992801
3D-ASCr composites,Small self,Perceptual Effects,39,117,0.1491952350199894,0.194980501949805,0.2506892167926064
11D-ASC subscales,Boundary dissolution,Experience of Unity,39,117,0.14370845659640819,0.21107889211078892,0.2679078246021552
11D-ASC subscales,Boundary dissolution,Spiritual Experience,39,117,0.1753780179455276,0.12918708129187081,0.1827192280771923
11D-ASC subscales,Boundary dissolution,Blissful State,39,117,0.16473896243978498,0.1481851814818518,0.1956044395560444
11D-ASC subscales,Boundary dissolution,Insightfulness,39,117,0.30889869232550815,0.0072992700729927005,0.026672332766723324
11D-ASC subscales,Boundary dissolution,Disembodiment,39,117,0.22655754412953238,0.048095190480951906,0.1058094190580942
11D-ASC subscales,Boundary dissolution,Impaired Control and Cognition,39,117,0.18865902396002857,0.09449055094490551,0.1559094090590941
11D-ASC subscales,Boundary dissolution,Anxiety,39,117,-0.17160600675350707,0.13288671132886712,0.1827192280771923
11D-ASC subscales,Boundary dissolution,Complex Imagery,39,117,0.20300751879699244,0.07489251074892511,0.13598113872823242
11D-ASC subscales,Boundary dissolution,Elementary Imagery,39,117,-0.18852958379112972,0.10358964103589641,0.16278372162783722
11D-ASC subscales,Boundary dissolution,Audio-Visual Synesthesia,39,117,0.0873195026421422,0.44915508449155084,0.49407059294070593
11D-ASC subscales,Boundary dissolution,Changed Meaning of Percepts,39,117,-0.05400717262881929,0.6417358264173583,0.6617900709929007
11D-ASC subscales,Spatial frame of reference,Experience of Unity,39,117,0.4784290287095701,9.999000099990002e-05,0.0016498350164983503
11D-ASC subscales,Spatial frame of reference,Spiritual Experience,39,117,0.5838621941249451,9.999000099990002e-05,0.0016498350164983503
11D-ASC subscales,Spatial frame of reference,Blissful State,39,117,0.2100420126042015,0.06509349065093491,0.12635795244005013
11D-ASC subscales,Spatial frame of reference,Insightfulness,39,117,0.35095317659331415,0.0015998400159984002,0.0075421029325638865
11D-ASC subscales,Spatial frame of reference,Disembodiment,39,117,0.4085505846855609,0.00029997000299970003,0.002474752524747525
11D-ASC subscales,Spatial frame of reference,Impaired Control and Cognition,39,117,0.418717894679312,0.00019998000199980003,0.0021997800219978004
11D-ASC subscales,Spatial frame of reference,Anxiety,39,117,-0.11345054894280689,0.33686631336866313,0.4117254941172549
11D-ASC subscales,Spatial frame of reference,Complex Imagery,39,117,0.09178146529232246,0.43815618438156184,0.49407059294070593
11D-ASC subscales,Spatial frame of reference,Elementary Imagery,39,117,0.21726204731337043,0.060693930606939304,0.12518123187681232
11D-ASC subscales,Spatial frame of reference,Audio-Visual Synesthesia,39,117,0.3028134894446933,0.008899110088991101,0.026672332766723324
11D-ASC subscales,Spatial frame of reference,Changed Meaning of Percepts,39,117,0.23573612323031384,0.0390960903909609,0.09215507020726499
11D-ASC subscales,Small self,Experience of Unity,39,117,0.3180214220162932,0.0058994100589941,0.02433506649335066
11D-ASC subscales,Small self,Spiritual Experience,39,117,0.3761773969316394,0.0008999100089991,0.00593940605939406
11D-ASC subscales,Small self,Blissful State,39,117,0.17667856778682955,0.12238776122387761,0.1827192280771923
11D-ASC subscales,Small self,Insightfulness,39,117,0.29658020976219435,0.008599140085991401,0.026672332766723324
11D-ASC subscales,Small self,Disembodiment,39,117,0.2617070232869876,0.023997600239976002,0.060916985224554465
11D-ASC subscales,Small self,Impaired Control and Cognition,39,117,0.3522080036343052,0.0015998400159984002,0.0075421029325638865
11D-ASC subscales,Small self,Anxiety,39,117,0.09815643058667047,0.40035996400359963,0.47185281471852814
11D-ASC subscales,Small self,Complex Imagery,39,117,0.016844233090156317,0.9049095090490951,0.9049095090490951
11D-ASC subscales,Small self,Elementary Imagery,39,117,0.08528415439205646,0.4814518548145185,0.512513264802552
11D-ASC subscales,Small self,Audio-Visual Synesthesia,39,117,0.30158144602891573,0.0096990300969903,0.026672332766723324
11D-ASC subscales,Small self,Changed Meaning of Percepts,39,117,0.19761920626080096,0.07829217078292171,0.13598113872823242
